user_id,label,screen_name,followers,following,name,location,url,description,protected,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
2391736411,human,paynej247,4143,1267,Time=Best Stock,Planet Earth,,"CHRISTIAN, FORGIVEN OF SIN. MY TWEETS ARE OPINIONS ONLY, NOT A RECOMMENDATION TO BUY OR SELL. see section 27A SEC act of 1933 / forward statements & risks.",False,389,280523,411708,2014-03-15 22:57:30,False,False
755095269730095104,human,fishervalue,329,396,Fisher Value,,,social economics and investing,False,44,2067,10276,2016-07-18 17:41:56,True,False
121158213,human,AlertTrade,133658,139336,"Trade Alerts, Trade Ideas and Crypto 📈",,https://t.co/NEmrVUFBRs,"🔊 Trade alerts, trade-ideas and crypto (All stock, trade ideas and crypto alerts are delayed). 🤖 BrokeragePlus automated trading ⟶ via https://t.co/iSgAgd96yC",False,2451,5518,1848272,2010-03-08 16:14:34,False,False
39394073,human,PennyStocksMomo,6638,4498,Penny Stocks with MOMO,Alerts are NOT Buy/Sell advice,https://t.co/mbtuwOKY57,"⭕ Trading with MOMO via ⟶ https://t.co/mbtuwOKY57
🚀 Save 10% with Promo Code:  alt888  🔥🔥🔥",False,234,29,816854,2009-05-12 01:05:48,False,False
121370906,human,ChartMill,4764,383,ChartMill,Belgium,http://t.co/a5AdiZaqe0,ChartMill makes advanced technical analysis tools and stock charts for US and European traders.,False,2199,32818,497630,2010-03-09 08:43:08,True,False
2801334731,bot,diggingplatinum,1377,972,trader whodont trade,,,,False,869,540,148529,2014-10-03 04:28:31,True,False
21328656,human,IBDinvestors,163755,455,Investors.com,"Los Angeles, CA",https://t.co/phCoQEjkrA,"Investor's Business Daily provides leading stock market news and analysis, powerful investing products and education to help investors make money in the market.",False,4143,1419,78860,2009-02-19 19:11:46,False,False
826120750667014144,human,EricPoulin9,1272,4423,Eric Poulin,Saguenay Qc Canada,,"Unir pour réussir! Together trader! ""-Ce que l'on fait dans sa vie, résonne pour l'éternité...",False,16,761,26324,2017-01-30 17:31:50,False,False
720740855557058565,human,KLRTRDR,464,331,OptionsNinja,,,"Opinionated, EX-liberal, loves the capital markets, trading options, fast cars, being single, realizing my potential, winning & philanthropy. Dislikes haters!",False,24,75455,76274,2016-04-14 22:29:45,True,False
1469603575,human,QTRResearch,67002,1055,Quoth the Raven,"Philadelphia, PA",https://t.co/aA1IE0ryMr,QTR Research LLC | Opinions & humor | Not fin. advice | Do your research elsewhere | DISCLAIMER https://t.co/pQa4RPHHNv,False,1332,64543,67722,2013-05-30 12:04:26,False,False
716737614771044352,human,optioncharts,1505,10,max pain,,https://t.co/eIsTCt8fCQ,,False,57,14,170587,2016-04-03 21:22:18,True,False
15977038,human,CryptoTraderPro,17881,14232,Crypto Trader Pro,🌐,https://t.co/mX9JP9XcEh,➡ https://t.co/mX9JP9XcEh  Profit From Bitcoin,False,1153,153,1840436,2008-08-25 03:17:30,False,False
1154825658,human,EdwardPiotrows1,123,222,Edward Piotrowski,,,https://t.co/x2h48LFluK,False,3,8343,40701,2013-02-06 19:11:49,False,True
2796938558,bot,CMLviz,7000,107,Capital Market Laboratories,Los Angeles,http://t.co/l29UpUXIyx,"Official Twitter account. Member of Thomson Reuters First Call. Financial Technology & Research. Our free site is like Yahoo Finance, but, ya know, better.",False,236,1246,270676,2014-09-08 00:42:45,True,False
2383717754,human,TrdngDrivatives,1026,767,Trading Derivatives,The Netherlands,http://t.co/IwLWFoI4S9,"We invest in leverage products in stable stock indexes: sprinters, speeders and turbos. Follow us now.",False,653,0,170133,2014-03-11 13:28:00,True,False
201650805,human,WillardOfOdds,1271,634,Le Unmatched Widsom,,,,False,92,11086,40649,2010-10-12 09:47:45,False,False
2806294664,human,option_snipper,45822,26,Option_Sniper,,,"charts & commentaries. only personal opinion, NOT investment advice.",False,996,13974,26209,2014-09-12 22:27:56,True,False
1935354607,human,tradebeautiful,30215,22996,Lesley-Anne Jones,"Vancouver, British Columbia",https://t.co/6bJHbvFGL1,"▪️US Equities Executioner 🔪 
▪️Irish ☘️▪️Discipline=Freedom
▪️LAJ15 =15% off",False,126,19444,14351,2013-10-04 20:03:55,False,False
445923217,human,willyvero,59,144,rod,,,,False,5,1614,922,2011-12-25 02:44:19,True,False
45202420,human,clair520,11474,11306,"Clair Lee, M.S.","Atlanta, GA",,"Foster Mom, Dividend Growth & Real Estate Investor. Love Christ, Exercise & Have the Best better Half on Earth!👍",False,71,51754,3392,2009-06-06 20:02:46,False,False
919381,human,aoctavio,609,0,Alfredo Octavio,,https://t.co/X1bH0wZ9YK,"A perfect mix of gentleman and absent mindedness. Bitter and sweet with a hint of chocolate. Pair with good food, good wines, good movies, good music.",True,68,2273,16911,2007-03-11 12:15:13,False,False
3248139409,human,_steve3_,1973,5002,Steve Mahoney ™️,"Highlands Ranch, CO",https://t.co/aXyNXRkYrT,https://t.co/EswUPddWms Scientist - Masters - 2020 ish https://t.co/sSemATx5cQ - Director Product /Service Architecture Steve Mahoney sjmahoney@Gmail.com,False,965,34308,238799,2015-06-17 18:33:06,False,False
975116011,human,ThomasRice16,601,870,Thomas Rice,,,,False,36,20868,26716,2012-11-28 01:22:02,False,False
2926129144,human,BursatilBiotech,7133,785,Bursatil Biotech,"Buenos Aires, Argentina.",,"Cofounder of LeapCode Bio // MedTech // Biotech // Churchill, A.Rand, Darwin, @estanibachrach & Agatha Christie.  
         Goofy Sheep of the BioTwitter Family",False,217,56805,48556,2014-12-17 01:03:27,False,False
2177093070,human,richard_louie,81,31,Richard Louie,,,Investools student and Software Engineer,False,8,8165,4951,2013-11-06 00:58:52,True,False
2696641002,human,IlinInvest,228,92,I Jones,,,,True,6,10590,5393,2014-07-31 21:35:39,True,False
839925441347452928,bot,WeiChen05082016,34,15,Wei Chen,"New York, USA",,Investools student & attorney in New York,False,2,6475,4687,2017-03-09 19:46:45,True,True
75639425,human,cmiller1225,7108,7321,Chelli Miller,Chicago Region,http://t.co/ngv0gVX4M2,Trailblazing Biotech and Medtech Marketing Exec | Investor Education| Biotech Events and Social Expert | VP Customer Success and Partner at Content Carnivores,False,518,1612,131164,2009-09-19 20:50:15,False,False
733268313409761280,human,RolfeNeelsen,270,5,Iomab_B,,,Investor,False,17,27973,10868,2016-05-19 12:09:24,True,False
1630747790,human,RoboSchmobo,2845,2745,Robo Schmobo,Chicago,https://t.co/BGT9gQAXTt,FinTech fans and explorers in the new frontier of how the real investment information can be separated from the noise.,False,340,218,42769,2013-07-29 16:33:52,False,False
22709198,human,HealthyCarnivor,4688,4584,HealthyCarnivores,U.S.,https://t.co/bcf4BgGz3g,The biggest changes present the biggest challenges. Who will lead the way to better outcomes in modern medicine? A media channel from Content Carnivores.,False,345,210,37441,2009-03-04 00:52:54,False,False
15281391,human,TheStreet,674938,1235,TheStreet,"New York, NY",https://t.co/VwgoRjzYvy,"TheStreet brings you the best business news and premium investing ideas and stock analysis around. We want to help you make money, lots of it.",False,5935,8274,172003,2008-06-30 19:12:38,False,False
603376827,human,Corona47Gary,667,735,G M,,,,False,181,76924,123993,2012-06-09 04:09:46,True,False
43921687,human,OneMedWorld,2181,2064,BioPharmaDevice,"Chicago, IL",https://t.co/bcf4BgYarQ,Brought to you by Content Carnivores,False,75,99,18410,2009-06-01 17:03:56,False,False
1924167116,human,FancyFinancy,6889,6825,FancyFinancy,Chicago,https://t.co/bcf4BgYarQ,"Public Markets, Small Cap, VC, Alternative Lending. Impact Investing. Crowd Funding.  We are a media account powered by Content Carnivores.",False,408,1119,58069,2013-10-01 18:00:03,True,False
794350398614241281,human,AllidoiswinDC,383,135,SuperTrend-T2122-EOD-Swings,"Valencia, CA",,#Day/Wk/Mnth/Qtr  Sell1025 #T2122 #ConnectedDarvas📦#BreakDropBreak #3EMAx8 #17EMA #34EMA #5MA📏#5MAx10 #BuyHL #SellLH #38FibBounce #PrMkt🚀#CCIx50 #MFx0 #VWAP,False,9,8670,8845,2016-11-04 01:27:48,True,False
53584956,human,EDENSCLIPPS,419,412,CarlosMBVSlimHeluRot,UNIVERSE & Planet Earth,http://t.co/7szM4vLXz3,CMBSlimHeluRothschild UNIVERSE #12Tribes #ClipperNationSince6thGrade. #1#NBA2K13 MostWins @WorldGaming. #Hebrew #BasketballWizz #DENA #Issachar,False,42,11695,35626,2009-07-04 03:42:51,False,False
700784500658208768,human,cheddar,244446,7083,Cheddar,"New York, NY",https://t.co/tf0BsbRMXt,"Cheddar covers the latest in news, business, media, and tech. Live weekdays from 7am - 5pm EST. https://t.co/5m4mtcooOd",False,2047,11185,34797,2016-02-19 20:50:19,True,False
360327469,human,davidmoble,586,105,David,,,true to his own spirit,True,209,103,24915,2011-08-23 01:32:45,True,False
783298101608079361,bot,Cryptolove2,2349,2655,Crypto Lovers,United States,,#Bitcoin & #Altcoins enthusiast. I follow back #Cryptocurrency & #Blockchain related accounts.,False,53,5,20119,2016-10-04 13:29:55,True,False
349249475,human,GerberKawasaki,60986,4863,Ross Gerber,"Santa Monica, CA",https://t.co/COwW4JJpjn,"Co-Founder & #CEO, #InvestmentAdvisor. #Stock market #investor #musician #Fintech innovator app: https://t.co/FpDEbFc6bf  Disclaimer - https://t.co/yTYGH9zoht",False,1134,44212,65309,2011-08-05 20:13:18,False,False
18719020,human,Hedgeye,53627,423,Hedgeye,"Stamford, Connecticut",https://t.co/GFg4tuLfvs,We are an independent investment research and online financial media company.,False,1494,22056,52061,2009-01-07 12:05:01,False,False
